,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
0,GSK,"An Open-Label, Non-Randomized Pharmacokinetic and Safety Study of a Single Oral Dose of 50 mg Eltrombopag in Healthy Subjects and in Subjects With Mild, Moderate, or Severe Renal Impairment","The main purpose of this study is to compare how one 50 mg tablet of SB-497115 is broken down in the body by healthy subjects versus subjects with mild, moderate or severe kidney problems. The study is also being done to 1) check on how well the study drug is tolerated by healthy subjects versus those with liver problems and 2) to check if liver impairment affects how the study drug binds to protein in the blood.",2006,9,Phase 1,29,Completed,"Purpura, Thrombocytopenic, Idiopathic",September,2006-2010,<50
1,Sanofi,"A Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Sarilumab in Patients With Giant Cell Arteritis","Primary Objective: To evaluate the efficacy of sarilumab in patients with giant cell arteritis (GCA) as assessed by the proportion of patients with sustained remission for sarilumab compared to placebo, in combination with a corticosteroid (CS) tapering course. Secondary Objective: - To demonstrate the efficacy of sarilumab in patients with GCA compared to placebo, in combination with CS taper with regards to: - Clinical responses (such as responses based on disease remission rates, time to first disease flare) over time. - Cumulative CS (including prednisone) exposure. - To assess the safety (including immunogenicity) and tolerability of sarilumab in patients with GCA. - To measure sarilumab serum concentrations in patients with GCA. - To assess the effect of sarilumab on sparing glucocorticoid toxicity as measured by glucocorticoid toxicity index (GTI).",2018,11,Phase 3,360,Recruiting,Giant Cell Arteritis,November,2016-2020,100-499
2,Pfizer,"A Multi Center Randomized Cross Over Double Blind Third Party Open Placebo Controlled Pilot Study to Assess the Urodynamic Effects of Modified Release UK-369,003 in Men With Lower Urinary Tract Symptoms.","This is a pilot study to generate hypotheses about the urodynamic effects of UK-369,003 in men with lower urinary tract symptoms.",2007,3,Phase 2,27,Completed,Prostatic Hyperplasia,March,2006-2010,<50
3,Novartis,"A Double-blind, Randomized, Placebo-controlled, Parallel, Time-lagged, Ascending, Multi-centre, Multiple-dose Study to Measure the Magnitude and Time Course of the Effect of FTY720 on FEV1 and Other Pulmonary Function Tests (FVC, FEF25-75%, and FEV1/FVC) in Patients With Moderate Asthma",This study will evaluate the effect of FTY720 on the lung function of patients with moderate asthma,2008,9,Phase 2,36,Completed,Asthma,September,2006-2010,<50
4,Novartis,"A Two Part Study Including a Randomized, Double Blind, Placebo Controlled, Multiple Dose Study to Assess Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of LFF269 After b.i.d Dosing in Healthy Volunteers and an Open Label, Multiple Dose Pharmacokinetics Study in Hypertension Subjects","This study is designed to enable optimal dose selection of LFF269 for potential future studies by providing additional information about the compounds safety, tolerability, pharmacokinetic and pharmacodynamic profiles.",2013,8,Phase 1,93,Terminated,Hypertension,August,2011-2015,50-99
5,Sanofi,"Single-Center, Double-Blind, Randomized , Parallel Study Comparing Onset of Action, Efficacy & Safety of a Single-Dose of Fexofenadine HCl 180 mg vs Montelukast Na 10 mg & Placebo in Treating Seasonal Allergic Rhinitis Subjects in an Allergen Exposure Unit (Study I)","The primary objective of this study is to determine the efficacy and onsets of action of single-dose fexofenadine hydrochloride 180 mg and montelukast sodium 10 mg relative to placebo. Secondary objectives are to compare the safety and efficacy of fexofenadine hydrochloride 180 mg, montelukast sodium 10 mg, and placebo",2003,2,Phase 4,1010,Completed,"Rhinitis, Allergic, Seasonal",February,2001-2005,1K-5K
6,Pfizer,"A Phase I, Double-masked, Placebo-controlled Study Evaluating The Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, And Immunogenicity Of Single Escalating Doses Of Rn6g In Patients With Dry, Age-related Macular Degeneration (Amd)","The purpose of this study is to determine the safety and tolerability of RN6G in patients with dry, age-related macular degeneration.",2009,4,Phase 1,57,Completed,Eye Diseases,April,2006-2010,50-99
7,Novartis,"A 39-week, Open-label Extension to CCOX189A2360, a 13-week, Multicenter, Randomized, Double-blind, Double-dummy, Placebo-controlled, Parallel Trial of 2 Different Dose Regimens of Lumiracoxib (100 mg od and 200 mg od Initial Dose for Two Weeks Followed by 100 mg od) in Patients With Primary Knee Osteoarthritis, Using Celecoxib (200 mg od) as a Comparator","This 39-week, open label study is designed to assess long-term efficacy, safety and tolerability of lumiracoxib 100mg od in patients with osteoarthritis (OA) of the knee who participated in the 13-week core CCOX189A2360 study.",2004,1,Phase 3,833,Completed,Osteoarthritis,January,2001-2005,500-999
8,Merck,"A Multicenter, Randomized, Double-Blind, Comparative Study to Evaluate the Safety, Tolerability, and Efficacy of 2 Dosing Regimens of Caspofungin in the Treatment of Invasive Candidiasis in Adults",Comparison of the safety and effectiveness of standard drug dosing versus a daily dose 3 times higher than the standard dose in patients with invasive candidiasis (bloodstream and/or systemic yeast infections),2006,1,Phase 3,204,Completed,"Candidiasis, Invasive",January,2006-2010,100-499
9,GSK,"Immunogenicity of GlaxoSmithKline Biologicals' MMRV Vaccine (208136) vs. ProQuad®, When Coadministered With Hepatitis A and Pneumococcal Conjugate Vaccines to Children 12-14 Months of Age.",The purpose of this observer blinded study is to provide information on vaccine immunogenicity and reactogenicity in comparison with the US standard of care (ProQuad®) when administered with Hepatitis A vaccine and Pneumococcal vaccine.,2007,11,Phase 2,1851,Completed,Rubella,November,2006-2010,1K-5K
